p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.31613236382715e-38	0.568071415166195	0.446	0.2	5.29357087366534e-37	Astrocyte	MCC
1.65991702363379e-38	-0.498906771934715	0.597	0.87	6.6450977296592e-37	Astrocyte	THRB
1.80638904917367e-38	0.624561848496637	0.782	0.609	7.19783022524225e-37	Astrocyte	ABLIM1
3.8135420251745e-38	0.362453604365055	0.197	0.05	1.51252845044768e-36	Astrocyte	SSPN
1.04047238091072e-37	-0.478066036031046	0.405	0.74	4.07019492569047e-36	Astrocyte	DNM1
1.35998948913554e-37	0.75710460409161	0.737	0.533	5.2959227061019e-36	Astrocyte	ITM2C
1.72750211136216e-37	0.369341869118399	0.22	0.06	6.69661112580978e-36	Astrocyte	ITGB5
2.09557948894563e-37	-0.502010565776365	0.453	0.765	8.08686012693567e-36	Astrocyte	HDAC9
2.52275550209821e-37	-0.516620225221192	0.418	0.731	9.69167999393513e-36	Astrocyte	EPB41L3
4.46532553085729e-37	0.599182136092481	0.752	0.524	1.70778767066314e-35	Astrocyte	LPP
9.50373648479424e-37	0.507491160223805	0.886	0.753	3.61860046512143e-35	Astrocyte	PSD3
9.72755242382007e-37	0.601744528460692	0.387	0.162	3.6874310449056e-35	Astrocyte	PRDX6
2.73702569753823e-36	-0.47697980016949	0.397	0.702	1.03295590972731e-34	Astrocyte	KIF5C
3.78389531428674e-36	0.564219502063179	0.392	0.169	1.42178206831116e-34	Astrocyte	RAB31
8.46085361922372e-36	0.614022675988868	0.739	0.531	3.16524598060653e-34	Astrocyte	FYN
9.02403780825624e-36	-0.665247289150485	0.41	0.698	3.36125790884049e-34	Astrocyte	PAM
1.5574135868833e-35	0.434531902428819	0.342	0.13	5.77591437178754e-34	Astrocyte	SNTA1
1.84227134441034e-35	0.324681257707131	0.182	0.045	6.80290457222561e-34	Astrocyte	VEGFA
2.22800709316252e-35	0.639171813605455	0.57	0.326	8.19199002880828e-34	Astrocyte	OLFM2
2.77399267148172e-35	0.250092826965225	0.19	0.048	1.01558953917025e-33	Astrocyte	LPAR1
3.67448977556122e-35	-0.466953658876578	0.527	0.853	1.33954697477587e-33	Astrocyte	ATP2B1
9.03347357136827e-35	-0.583841635712808	0.413	0.718	3.27922746126746e-33	Astrocyte	MCTP1
1.69133033343335e-34	0.402694952060345	0.284	0.098	6.11376665254155e-33	Astrocyte	GATM
6.55541981594919e-34	-0.494565790548078	0.446	0.743	2.35967569593432e-32	Astrocyte	PAK1
